results/synthesize_1khz_100ms_50dB_calibration_level_TVL_2018.txt

Calibration level:      50 dB SPL (RMS level of a full-scale sinusoid)
Filename of FIR filter: transfer functions/ff_32000.mat

Maximum of long-term loudness:       0.74 sone
                                    36.23 phon
Maximum of short-term loudness:      1.41 sone
                                    44.53 phon

Loudness over time
1st column: time in milliseconds
2nd column: short-term loudness in sone
3rd column: short-term loudness level in phon
4th column: long-term loudness in sone
5th column: long-term loudness level in phon

   time   short-t. loudness    long-t. loudness
     ms      sone      phon      sone      phon
      0      0.09      17.3      0.00       1.1
      1      0.17      21.8      0.00       3.3
      2      0.24      24.6      0.01       4.7
      3      0.30      26.6      0.01       5.8
      4      0.35      28.2      0.01       6.8
      5      0.40      29.5      0.02       7.9
      6      0.44      30.5      0.02       8.8
      7      0.48      31.5      0.02       9.8
      8      0.52      32.3      0.03      10.7
      9      0.56      33.1      0.03      11.5
     10      0.59      33.8      0.04      12.3
     11      0.63      34.4      0.05      13.0
     12      0.66      35.0      0.05      13.7
     13      0.69      35.5      0.06      14.4
     14      0.72      36.0      0.07      15.0
     15      0.75      36.5      0.07      15.6
     16      0.78      36.9      0.08      16.2
     17      0.80      37.3      0.09      16.8
     18      0.83      37.6      0.09      17.3
     19      0.85      38.0      0.10      17.9
     20      0.87      38.3      0.11      18.4
     21      0.89      38.6      0.12      18.9
     22      0.91      38.9      0.12      19.3
     23      0.93      39.1      0.13      19.8
     24      0.95      39.4      0.14      20.2
     25      0.97      39.6      0.15      20.7
     26      0.98      39.8      0.16      21.1
     27      1.00      40.0      0.17      21.5
     28      1.02      40.2      0.17      21.9
     29      1.03      40.4      0.18      22.3
     30      1.04      40.6      0.19      22.7
     31      1.06      40.7      0.20       9.6
     32      1.07      40.9      0.21      23.4
     33      1.08      41.0      0.22      23.7
     34      1.09      41.2      0.23      24.1
     35      1.11      41.3      0.24      24.4
     36      1.12      41.4      0.24      24.8
     37      1.13      41.5      0.25      22.6
     38      1.14      41.6      0.26      25.4
     39      1.14      41.8      0.27      25.7
     40      1.15      41.8      0.28      26.0
     41      1.16      41.9      0.29      26.3
     42      1.17      42.0      0.30      26.6
     43      1.18      42.1      0.31      26.8
     44      1.18      42.2      0.31      27.1
     45      1.19      42.3      0.32      27.4
     46      1.20      42.3      0.33      27.6
     47      1.20      42.4      0.34      27.9
     48      1.21      42.5      0.35      28.1
     49      1.22      42.5      0.36      28.4
     50      1.22      42.6      0.37      28.6
     51      1.23      42.7      0.38      28.8
     52      1.23      42.7      0.38      29.1
     53      1.24      42.8      0.39      29.3
     54      1.24      42.8      0.40      29.5
     55      1.24      42.9      0.41      29.7
     56      1.25      42.9      0.42      29.9
     57      1.25      42.9      0.43      30.1
     58      1.26      43.0      0.43      30.3
     59      1.26      43.0      0.44      30.5
     60      1.26      43.0      0.45      30.7
     61      1.27      43.1      0.46      30.9
     62      1.27      43.1      0.47      31.1
     63      1.27      43.1      0.48      31.3
     64      1.27      43.2      0.48      31.5
     65      1.28      43.2      0.49      31.6
     66      1.28      43.2      0.50      31.8
     67      1.28      43.3      0.51      32.0
     68      1.28      43.3      0.51      32.2
     69      1.29      43.3      0.52      32.3
     70      1.29      43.3      0.53      32.5
     71      1.29      43.3      0.54      32.6
     72      1.29      43.4      0.55      32.8
     73      1.29      43.4      0.55      32.9
     74      1.30      43.4      0.56      33.1
     75      1.30      43.4      0.57      33.2
     76      1.30      43.4      0.57      33.4
     77      1.30      43.4      0.58      33.5
     78      1.30      43.5      0.59      33.7
     79      1.30      43.5      0.60      33.8
     80      1.31      43.5      0.60      33.9
     81      1.31      43.5      0.61      34.1
     82      1.31      43.5      0.62      34.2
     83      1.31      43.5      0.62      34.3
     84      1.31      43.5      0.63      34.4
     85      1.31      43.5      0.64      34.6
     86      1.31      43.6      0.64      34.7
     87      1.31      43.6      0.65      34.8
     88      1.31      43.6      0.66      34.9
     89      1.31      43.6      0.66      35.0
     90      1.32      43.6      0.67      35.2
     91      1.32      43.6      0.68      35.3
     92      1.32      43.6      0.68      35.4
     93      1.32      43.6      0.69      35.5
     94      1.32      43.6      0.70      35.6
     95      1.32      43.7      0.70      35.7
     96      1.33      43.7      0.71      35.8
     97      1.34      43.8      0.72      35.9
     98      1.35      44.0      0.72      36.0
     99      1.38      44.2      0.73      36.1
    100      1.41      44.5      0.74      36.2
max          1.41      44.5      0.74      36.2
