results/synthesize_1khz_100ms_50dB_calibration_level_TVL_2018_jax.txt

Calibration level:      50 dB SPL (RMS level of a full-scale sinusoid)
Filename of FIR filter: transfer functions/ff_32000.mat

Maximum of long-term loudness:       2.35 sone
                                    51.71 phon
Maximum of short-term loudness:      4.37 sone
                                    60.95 phon

Loudness over time
1st column: time in milliseconds
2nd column: short-term loudness in sone
3rd column: short-term loudness level in phon
4th column: long-term loudness in sone
5th column: long-term loudness level in phon

   time   short-t. loudness    long-t. loudness
     ms      sone      phon      sone      phon
      0      0.22      24.0      0.00       2.9
      1      0.43      30.3      0.01       5.3
      2      0.62      34.2      0.01       7.2
      3      0.79      37.1      0.02       9.0
      4      0.96      39.4      0.03      10.8
      5      1.11      41.4      0.04      12.3
      6      1.26      43.0      0.05      13.8
      7      1.40      44.4      0.07      15.1
      8      1.53      45.6      0.08      16.4
      9      1.66      46.7      0.10      17.5
     10      1.78      47.7      0.11      18.7
     11      1.89      48.6      0.13      19.7
     12      2.00      49.4      0.15      20.7
     13      2.11      50.1      0.17      21.7
     14      2.21      50.8      0.19      22.6
     15      2.31      51.4      0.21      23.5
     16      2.40      52.0      0.23      24.3
     17      2.48      52.5      0.26      25.2
     18      2.57      53.0      0.28      26.0
     19      2.65      53.4      0.30      26.7
     20      2.72      53.8      0.33      27.5
     21      2.79      54.2      0.35      28.2
     22      2.86      54.6      0.38      28.9
     23      2.93      54.9      0.40      29.5
     24      2.99      55.2      0.43      30.2
     25      3.05      55.5      0.45      30.8
     26      3.11      55.8      0.48      31.4
     27      3.16      56.1      0.51      32.0
     28      3.22      56.3      0.53      32.6
     29      3.27      56.6      0.56      33.1
     30      3.31      56.8      0.59      33.7
     31      3.36      57.0      0.62      34.2
     32      3.40      57.2      0.64      34.7
     33      3.44      57.3      0.67      35.2
     34      3.48      57.5      0.70      35.7
     35      3.52      57.7      0.73      36.1
     36      3.56      57.8      0.76      36.6
     37      3.59      58.0      0.79      37.0
     38      3.63      58.1      0.81      37.5
     39      3.66      58.2      0.84      37.9
     40      3.69      58.4      0.87      38.3
     41      3.72      58.5      0.90      38.7
     42      3.74      58.6      0.93      39.1
     43      3.77      58.7      0.96      39.5
     44      3.79      58.8      0.98      39.8
     45      3.82      58.9      1.01      40.2
     46      3.84      59.0      1.04      40.5
     47      3.86      59.1      1.07      40.9
     48      3.88      59.2      1.10      41.2
     49      3.90      59.2      1.13      41.5
     50      3.92      59.3      1.15      41.9
     51      3.94      59.4      1.18      42.2
     52      3.96      59.4      1.21      42.5
     53      3.97      59.5      1.24      42.8
     54      3.99      59.6      1.26      43.1
     55      4.00      59.6      1.29      43.4
     56      4.02      59.7      1.32      43.6
     57      4.03      59.7      1.35      43.9
     58      4.04      59.8      1.37      44.2
     59      4.06      59.8      1.40      44.4
     60      4.07      59.9      1.43      44.7
     61      4.08      59.9      1.45      44.9
     62      4.09      59.9      1.48      45.2
     63      4.10      60.0      1.51      45.4
     64      4.11      60.0      1.53      45.7
     65      4.12      60.1      1.56      45.9
     66      4.13      60.1      1.58      46.1
     67      4.14      60.1      1.61      46.3
     68      4.15      60.1      1.63      46.5
     69      4.15      60.2      1.66      46.8
     70      4.16      60.2      1.68      47.0
     71      4.17      60.2      1.71      47.2
     72      4.18      60.3      1.73      47.4
     73      4.18      60.3      1.76      47.6
     74      4.19      60.3      1.78      47.8
     75      4.19      60.3      1.81      47.9
     76      4.20      60.3      1.83      48.1
     77      4.20      60.4      1.85      48.3
     78      4.21      60.4      1.88      48.5
     79      4.21      60.4      1.90      48.7
     80      4.22      60.4      1.92      48.8
     81      4.22      60.4      1.95      49.0
     82      4.23      60.4      1.97      49.2
     83      4.23      60.5      1.99      49.3
     84      4.24      60.5      2.02      49.5
     85      4.24      60.5      2.04      49.6
     86      4.24      60.5      2.06      49.8
     87      4.25      60.5      2.08      49.9
     88      4.25      60.5      2.10      50.1
     89      4.26      60.5      2.13      50.2
     90      4.26      60.6      2.15      50.4
     91      4.26      60.6      2.17      50.5
     92      4.27      60.6      2.19      50.7
     93      4.27      60.6      2.21      50.8
     94      4.28      60.6      2.23      50.9
     95      4.28      60.6      2.25      51.1
     96      4.29      60.7      2.27      51.2
     97      4.30      60.7      2.29      51.3
     98      4.31      60.7      2.31      51.5
     99      4.33      60.8      2.33      51.6
    100      4.37      60.9      2.35      51.7
max          4.37      60.9      2.35      51.7
